INPUT,FOUND_BY,DTXSID,PREFERRED_NAME,SMILES
DTXSID4042416,DSSTox_Substance_Id,DTXSID4042416,Sodium myristyl sulfate,[Na+].CCCCCCCCCCCCCCOS([O-])(=O)=O
DTXSID60162436,DSSTox_Substance_Id,DTXSID60162436,"7H-Furo(3,2-g)(1)benzopyran-7-one, 4,9-dihydroxy-",OC1=C2OC(=O)C=CC2=C(O)C2=C1OC=C2
DTXSID9048306,DSSTox_Substance_Id,DTXSID9048306,Xaliproden,FC(F)(F)C1=CC=CC(=C1)C1=CCN(CCC2=CC=C3C=CC=CC3=C2)CC1
DTXSID50171532,DSSTox_Substance_Id,DTXSID50171532,Ciproxifan,O=C(C1CC1)C1=CC=C(OCCCC2=CN=CN2)C=C1
DTXSID90196860,DSSTox_Substance_Id,DTXSID90196860,9 alpha-Fluoro-11-keto-17 alpha-methyltestosterone,[H][C@@]12CC[C@](C)(O)[C@@]1(C)CC(=O)[C@@]1(F)[C@@]2([H])CCC2=CC(=O)CC[C@]12C
DTXSID30320460,DSSTox_Substance_Id,DTXSID30320460,NSC636616,[O-][N+](=O)C1=CC=C(C=C2C(=O)NC(=O)NC2=O)C=C1
DTXSID70589554,DSSTox_Substance_Id,DTXSID70589554,"N,N-Dibutyl-N'-(3-chloro-2-methylphenyl)urea",CCCCN(CCCC)C(=O)NC1=C(C)C(Cl)=CC=C1
DTXSID80197508,DSSTox_Substance_Id,DTXSID80197508,Osthenol,CC(C)=CCC1=C(O)C=CC2=C1OC(=O)C=C2
DTXSID00167283,DSSTox_Substance_Id,DTXSID00167283,1-Phenyl-2-(pyridin-2-yl)ethan-1-one,O=C(CC1=CC=CC=N1)C1=CC=CC=C1
DTXSID00397548,DSSTox_Substance_Id,DTXSID00397548,N-(4-tert-Butylbenzoyl)methionine,CSCCC(NC(=O)C1=CC=C(C=C1)C(C)(C)C)C(O)=O
DTXSID10187093,DSSTox_Substance_Id,DTXSID10187093,Vestipitant Mesylate,CS(O)(=O)=O.C[C@@H](N(C)C(=O)N1CCNC[C@@H]1C1=C(C)C=C(F)C=C1)C1=CC(=CC(=C1)C(F)(F)F)C(F)(F)F
DTXSID40580674,DSSTox_Substance_Id,DTXSID40580674,6-(2-Aminoethyl)-9-(1H-pyrazol-5-yl)benzo[h]isoquinolin-1(2H)-one,NCCC1=C2C=CC(=CC2=C2C(=O)NC=CC2=C1)C1=CC=NN1
DTXSID60365405,DSSTox_Substance_Id,DTXSID60365405,"N-(2-cyanoethyl)-N-(4-methoxyphenyl)-2,1,3-benzothiadiazole-4-sulfonamide",COC1=CC=C(C=C1)N(CCC#N)S(=O)(=O)C1=CC=CC2=NSN=C12
DTXSID50176163,DSSTox_Substance_Id,DTXSID50176163,"5-Hydroxy-3',4',6,7-tetramethoxyflavone",COC1=C(OC)C=C(C=C1)C1=CC(=O)C2=C(O)C(OC)=C(OC)C=C2O1
DTXSID40325744,DSSTox_Substance_Id,DTXSID40325744,2-Chloro-7-methoxy-10H-phenothiazine,COC1=CC2=C(NC3=C(S2)C=CC(Cl)=C3)C=C1
DTXSID0041147,DSSTox_Substance_Id,DTXSID0041147,Uridine 5'-triphosphate,O[C@H]1[C@@H](O)[C@@H](O[C@@H]1COP(O)(=O)OP(O)(=O)OP(O)(O)=O)N1C=CC(=O)NC1=O
DTXSID00235971,DSSTox_Substance_Id,DTXSID00235971,Umeclidinium,OC(C1=CC=CC=C1)(C1=CC=CC=C1)C12CC[N+](CCOCC3=CC=CC=C3)(CC1)CC2
DTXSID4023254,DSSTox_Substance_Id,DTXSID4023254,Mephenesin,CC1=CC=CC=C1OCC(O)CO
DTXSID1025641,DSSTox_Substance_Id,DTXSID1025641,3-Methyl-4-nitrobenzoic acid,CC1=C(C=CC(=C1)C(O)=O)[N+]([O-])=O
DTXSID70317733,DSSTox_Substance_Id,DTXSID70317733,MLS003115987,CC1=CC(NC(=O)OC2=C3N=CC=CC3=C(Cl)C=C2)=CC=C1
DTXSID30658750,DSSTox_Substance_Id,DTXSID30658750,8-(3-Methoxybenzene-1-sulfonyl)-9-(pent-4-yn-1-yl)-9H-purin-6-amine,COC1=CC(=CC=C1)S(=O)(=O)C1=NC2=C(N)N=CN=C2N1CCCC#C
DTXSID40203816,DSSTox_Substance_Id,DTXSID40203816,Hydrocarbostyril,O=C1CCC2=CC=CC=C2N1
DTXSID70173614,DSSTox_Substance_Id,DTXSID70173614,Nicotinamide N-oxide,NC(=O)C1=C[N+]([O-])=CC=C1
DTXSID70285302,DSSTox_Substance_Id,DTXSID70285302,MLS000737035,CCCSC1=CC(Cl)=NC(N)=N1
DTXSID90214053,DSSTox_Substance_Id,DTXSID90214053,"Butyramide, 2-(allylthio)-2-ethyl-",CCC(CC)(SCC=C)C(N)=O
DTXSID10390520,DSSTox_Substance_Id,DTXSID10390520,3-[(4-methoxyphenyl)sulfonyl]propanoic acid,COC1=CC=C(C=C1)S(=O)(=O)CCC(O)=O
DTXSID0021337,DSSTox_Substance_Id,DTXSID0021337,Thiabendazole,N1C2=C(C=CC=C2)N=C1C1=CSC=N1
DTXSID10409207,DSSTox_Substance_Id,DTXSID10409207,NSC114792,CC12CCC3C(CCC4=CC(=O)CCC34C)C1CCC2C(=O)CN1C=NC2=C1NC=NC2=S
DTXSID20369601,DSSTox_Substance_Id,DTXSID20369601,1-benzyl-4-(2-methoxyphenyl)piperidine,COC1=CC=CC=C1C1CCN(CC2=CC=CC=C2)CC1
DTXSID5041512,DSSTox_Substance_Id,DTXSID5041512,4-Chlorophenylurea,NC(=O)NC1=CC=C(Cl)C=C1
DTXSID10343213,DSSTox_Substance_Id,DTXSID10343213,"1H-Imidazole, 1-(1-naphthalenylmethyl)-",C(N1C=CN=C1)C1=CC=CC2=CC=CC=C12
DTXSID40355642,DSSTox_Substance_Id,DTXSID40355642,1-(5-methylpyridin-2-yl)-3-phenylurea,CC1=CN=C(NC(=O)NC2=CC=CC=C2)C=C1
DTXSID0045468,DSSTox_Substance_Id,DTXSID0045468,Talampicillin hydrochloride,Cl.CC1(C)S[C@@H]2[C@H](NC(=O)C(N)C3=CC=CC=C3)C(=O)N2[C@H]1C(=O)OC1OC(=O)C2=C1C=CC=C2
DTXSID2020711,DSSTox_Substance_Id,DTXSID2020711,Hydrochloric acid,Cl
DTXSID8049549,DSSTox_Substance_Id,DTXSID8049549,NTP Mix94 ER AR1 18-GP,N/A
DTXSID90431602,DSSTox_Substance_Id,DTXSID90431602,BTA-1,CNC1=CC=C(C=C1)C1=NC2=CC=CC=C2S1
DTXSID8022747,DSSTox_Substance_Id,DTXSID8022747,Carvedilol,COC1=C(OCCNCC(O)COC2=CC=CC3=C2C2=C(N3)C=CC=C2)C=CC=C1
DTXSID9044613,DSSTox_Substance_Id,DTXSID9044613,"1,1'-Diazene-1,2-diyldicyclohexanecarbonitrile",N#CC1(CCCCC1)N=NC1(CCCCC1)C#N
DTXSID20368896,DSSTox_Substance_Id,DTXSID20368896,"4-Chloro-N,N-diethylpyridine-2-carboxamide",CCN(CC)C(=O)C1=NC=CC(Cl)=C1
DTXSID5024683,DSSTox_Substance_Id,DTXSID5024683,Butyl anthranilate,CCCCOC(=O)C1=CC=CC=C1N
DTXSID20349509,DSSTox_Substance_Id,DTXSID20349509,"3-[(Morpholin-4-yl)methyl]-3,4-dihydro-2H-1,4-benzoxazine",C(C1COC2=CC=CC=C2N1)N1CCOCC1
DTXSID90715772,DSSTox_Substance_Id,DTXSID90715772,"4-Hydroxy-2-oxo-N-(1-phenylethyl)-1-propyl-1,2-dihydroquinoline-3-carboxamide",CCCN1C(=O)C(C(=O)NC(C)C2=CC=CC=C2)=C(O)C2=CC=CC=C12
DTXSID60377624,DSSTox_Substance_Id,DTXSID60377624,"Methyl 4-methyl-3-oxo-3,4-dihydro-2H-1,4-benzothiazine-6-carboxylate",COC(=O)C1=CC2=C(SCC(=O)N2C)C=C1
DTXSID80184413,DSSTox_Substance_Id,DTXSID80184413,"Urea, N-methyl-N'-(3-(trifluoromethyl)phenyl)-",CNC(=O)NC1=CC=CC(=C1)C(F)(F)F
DTXSID0047741,DSSTox_Substance_Id,DTXSID0047741,Dibenzothiophene,S1C2=C(C=CC=C2)C2=C1C=CC=C2
DTXSID40333501,DSSTox_Substance_Id,DTXSID40333501,sjb2-043,O=C1C2=C(N=C(O2)C2=CC=CC=C2)C(=O)C2=CC=CC=C12
DTXSID5020603,DSSTox_Substance_Id,DTXSID5020603,Nabam-sodium,[Na+].[Na+].[S-]C(=S)NCCNC([S-])=S
DTXSID00659158,DSSTox_Substance_Id,DTXSID00659158,N-[(4-Hydroxyphenyl)methyl]-N-[(4-methoxyphenoxy)carbonyl]glycine,COC1=CC=C(OC(=O)N(CC(O)=O)CC2=CC=C(O)C=C2)C=C1
DTXSID80388191,DSSTox_Substance_Id,DTXSID80388191,"N-Phenyl-4H-3,1-benzothiazin-2-amine",C1SC(NC2=CC=CC=C2)=NC2=CC=CC=C12
DTXSID60441894,DSSTox_Substance_Id,DTXSID60441894,2-(1-benzoyl-5-methoxy-2-methylindol-3-yl)acetamide,COC1=CC2=C(C=C1)N(C(=O)C1=CC=CC=C1)C(C)=C2CC(N)=O
DTXSID20361246,DSSTox_Substance_Id,DTXSID20361246,2-bromo-3-methylquinoline,CC1=CC2=CC=CC=C2N=C1Br
DTXSID0060191,DSSTox_Substance_Id,DTXSID0060191,Syringic acid,COC1=CC(=CC(OC)=C1O)C(O)=O
DTXSID20397560,DSSTox_Substance_Id,DTXSID20397560,(2-Amino-1-(3-pyridyl)ethyl)dimethylamine,CN(C)C(CN)C1=CN=CC=C1
DTXSID00317509,DSSTox_Substance_Id,DTXSID00317509,MLS003170972,ClC1=CN(CC1)C1=NCCC1
DTXSID4023177,DSSTox_Substance_Id,DTXSID4023177,13-cis Retinoic acid,C\C(\C=C\C1=C(C)CCCC1(C)C)=C/C=C/C(/C)=C\C(O)=O
DTXSID30327131,DSSTox_Substance_Id,DTXSID30327131,Acylfulvene,CC1=CC2=C(C)C3(CC3)[C@@](C)(O)C(=O)C2=C1
DTXSID40158756,DSSTox_Substance_Id,DTXSID40158756,4-Chlorohippuric acid,OC(=O)CNC(=O)C1=CC=C(Cl)C=C1
DTXSID50396763,DSSTox_Substance_Id,DTXSID50396763,"2-o-Tolyl-4H-isoquinoline-1,3-dione",CC1=CC=CC=C1N1C(=O)CC2=CC=CC=C2C1=O
DTXSID80360013,DSSTox_Substance_Id,DTXSID80360013,CID-1067700,CC1(C)CC2=C(CO1)SC(NC(=S)NC(=O)C1=CC=CC=C1)=C2C(O)=O
DTXSID50659527,DSSTox_Substance_Id,DTXSID50659527,2-(6-Amino-8-bromo-9H-purin-9-yl)ethan-1-ol,NC1=C2N=C(Br)N(CCO)C2=NC=N1
DTXSID50145591,DSSTox_Substance_Id,DTXSID50145591,LY-2452473,CC(C)OC(=O)N[C@@H]1CC2=C(C1)C1=C(C=CC(=C1)C#N)N2CC1=CC=CC=N1
DTXSID50658792,DSSTox_Substance_Id,DTXSID50658792,"6-Methyl-4-(4-nitrophenyl)-2-oxo-1,2,3,4-tetrahydropyrimidine-5-carboxylic acid",CC1=C(C(NC(=O)N1)C1=CC=C(C=C1)[N+]([O-])=O)C(O)=O
DTXSID10434397,DSSTox_Substance_Id,DTXSID10434397,"Ethyl 3-(3,4-difluorobenzoyl)-1,1-dimethyl-1,2,3,6-tetrahydroazepino[4,5-b]indole-5-carboxylate",CCOC(=O)C1=CN(CC(C)(C)C2=C1NC1=CC=CC=C21)C(=O)C1=CC(F)=C(F)C=C1
DTXSID2059774,DSSTox_Substance_Id,DTXSID2059774,Pyrazole,N1C=CC=N1
DTXSID20142875,DSSTox_Substance_Id,DTXSID20142875,A-867744,CCC(=O)C1=C(C)N(C(=C1)C1=CC=C(Cl)C=C1)C1=CC=C(C=C1)S(N)(=O)=O
DTXSID5047295,DSSTox_Substance_Id,DTXSID5047295,UK-373911,CN[C@H]1CC[C@@H](C2=CC=C(Cl)C(Cl)=C2)C2=CC=C(C=C12)S(N)(=O)=O
DTXSID40437432,DSSTox_Substance_Id,DTXSID40437432,"(2R,3S,4R,5R)-2,5-bis(hydroxymethyl)pyrrolidine-3,4-diol",OC[C@H]1N[C@H](CO)[C@H](O)[C@@H]1O
DTXSID80429497,DSSTox_Substance_Id,DTXSID80429497,"Hexanediamide, N-(2-aminophenyl)-N'-phenyl-",NC1=CC=CC=C1NC(=O)CCCCC(=O)NC1=CC=CC=C1
DTXSID30438973,DSSTox_Substance_Id,DTXSID30438973,"1H-Purine-2,6-dione, 3,7-dihydro-1-methyl-3,7-dipropyl-",CCCN1C=NC2=C1C(=O)N(C)C(=O)N2CCC
DTXSID10146928,DSSTox_Substance_Id,DTXSID10146928,Finerenone,CCOC1=NC=C(C)C2=C1[C@H](C1=C(OC)C=C(C=C1)C#N)C(C(N)=O)=C(C)N2
DTXSID70165857,DSSTox_Substance_Id,DTXSID70165857,4-(2'-Methoxyphenyl)-1-(2'-(N-(2''-pyridinyl)-4-iodobenzamido)ethyl)piperazine,COC1=CC=CC=C1N1CCN(CCN(C(=O)C2=CC=C(I)C=C2)C2=CC=CC=N2)CC1
DTXSID10177676,DSSTox_Substance_Id,DTXSID10177676,"3,5-Pyrazolidinedione, 4-butyl-1,2-diphenyl-4-(hydroxymethyl)-",CCCCC1(CO)C(=O)N(N(C1=O)C1=CC=CC=C1)C1=CC=CC=C1
DTXSID70389758,DSSTox_Substance_Id,DTXSID70389758,"Ethyl 3-(2-amino-1,3-thiazol-4-yl)-5-oxooxolane-3-carboxylate",CCOC(=O)C1(COC(=O)C1)C1=CSC(N)=N1
DTXSID1067176,DSSTox_Substance_Id,DTXSID1067176,Sodium anilinomethanesulphonate,[Na+].[O-]S(=O)(=O)CNC1=CC=CC=C1
DTXSID10432393,DSSTox_Substance_Id,DTXSID10432393,N-(4-Aminobutyl)-5-chloronaphthalene-1-sulfonamide--hydrogen chloride (1/1),Cl.NCCCCNS(=O)(=O)C1=CC=CC2=C1C=CC=C2Cl
DTXSID30351370,DSSTox_Substance_Id,DTXSID30351370,"3-[(4-methoxyphenyl)amino]-5,5-dimethylcyclohex-2-en-1-one",COC1=CC=C(NC2=CC(=O)CC(C)(C)C2)C=C1
DTXSID30579759,DSSTox_Substance_Id,DTXSID30579759,"3-Ethyl-1-methyl-3,7-dihydro-1H-purine-2,6-dione",CCN1C2=C(NC=N2)C(=O)N(C)C1=O
DTXSID80546774,DSSTox_Substance_Id,DTXSID80546774,"4-(5,6,7,8-Tetrahydroimidazo[1,5-a]pyridin-5-yl)benzoic acid",OC(=O)C1=CC=C(C=C1)C1CCCC2=CN=CN12
DTXSID4067640,DSSTox_Substance_Id,DTXSID4067640,"Acetamide, N-(4-methoxy-2-methylphenyl)-",COC1=CC(C)=C(NC(C)=O)C=C1
DTXSID7075422,DSSTox_Substance_Id,DTXSID7075422,2(5H)-Furanone,O=C1OCC=C1
DTXSID10277241,DSSTox_Substance_Id,DTXSID10277241,(biphenyl-2-yloxy)acetic acid,OC(=O)COC1=CC=CC=C1C1=CC=CC=C1
DTXSID20401833,DSSTox_Substance_Id,DTXSID20401833,"Benzamide, 4-methoxy-N-(phenylmethoxy)-",COC1=CC=C(C=C1)C(=O)NOCC1=CC=CC=C1
DTXSID6023232,DSSTox_Substance_Id,DTXSID6023232,L-​Lysine,NCCCC[C@H](N)C(O)=O
DTXSID5045124,DSSTox_Substance_Id,DTXSID5045124,N-Arachidonoyl glycine,CCCCC\C=C/C\C=C/C\C=C/C\C=C/CCCC(=O)NCC(O)=O
DTXSID2046410,DSSTox_Substance_Id,DTXSID2046410,Oxaceprol,CC(=O)N1C[C@H](O)C[C@H]1C(O)=O
DTXSID30181376,DSSTox_Substance_Id,DTXSID30181376,"Benzamide, N-(9H-fluoren-9-yl)-",O=C(NC1C2=CC=CC=C2C2=CC=CC=C12)C1=CC=CC=C1
DTXSID2021868,DSSTox_Substance_Id,DTXSID2021868,p-Xylene,CC1=CC=C(C)C=C1
DTXSID00223398,DSSTox_Substance_Id,DTXSID00223398,Sodium clofibrate,[Na+].CC(C)(OC1=CC=C(Cl)C=C1)C([O-])=O
DTXSID1026293,DSSTox_Substance_Id,DTXSID1026293,D&C Violet 2,CC1=CC=C(NC2=C3C(=O)C4=C(C=CC=C4)C(=O)C3=C(O)C=C2)C=C1
DTXSID50389054,DSSTox_Substance_Id,DTXSID50389054,3-nitro-N-(4-nitrophenyl)benzamide,[O-][N+](=O)C1=CC=C(NC(=O)C2=CC(=CC=C2)[N+]([O-])=O)C=C1
DTXSID4065993,DSSTox_Substance_Id,DTXSID4065993,"1,4-Butanediamine, N,N'-dimethyl-",CNCCCCNC
DTXSID7022912,DSSTox_Substance_Id,DTXSID7022912,Diatrizoate sodium,[Na+].CC(=O)NC1=C(I)C(C([O-])=O)=C(I)C(NC(C)=O)=C1I
DTXSID8020915,DSSTox_Substance_Id,DTXSID8020915,1-Naphthaleneacetic acid,OC(=O)CC1=C2C=CC=CC2=CC=C1
DTXSID00508233,DSSTox_Substance_Id,DTXSID00508233,"2-(Dipropylamino)-2,3-dihydro-1H-inden-5-ol",CCCN(CCC)C1CC2=C(C1)C=C(O)C=C2
DTXSID20168575,DSSTox_Substance_Id,DTXSID20168575,N-Benzenesulphonylpyrrole,O=S(=O)(N1C=CC=C1)C1=CC=CC=C1
DTXSID10354420,DSSTox_Substance_Id,DTXSID10354420,4-(2-Oxo-pyrrolidin-1-yl)-benzoic acid,OC(=O)C1=CC=C(C=C1)N1CCCC1=O
DTXSID4021769,DSSTox_Substance_Id,DTXSID4021769,beta-Ionone,CC(=O)\C=C\C1=C(C)CCCC1(C)C
DTXSID10430293,DSSTox_Substance_Id,DTXSID10430293,NSC131307,C\C=N\N(C1=CC=CC=C1)C1=CC=CC=C1
DTXSID30197417,DSSTox_Substance_Id,DTXSID30197417,Tangeretin,COC1=CC=C(C=C1)C1=CC(=O)C2=C(O1)C(OC)=C(OC)C(OC)=C2OC
DTXSID30658598,DSSTox_Substance_Id,DTXSID30658598,5-Chloro-N-[2-(4-ethylphenyl)ethyl]-2-methoxybenzamide,CCC1=CC=C(CCNC(=O)C2=C(OC)C=CC(Cl)=C2)C=C1
DTXSID60239031,DSSTox_Substance_Id,DTXSID60239031,Ganhuangenin,COC1=C(O)C=C(O)C2=C1OC(=CC2=O)C1=C(O)C=CC(O)=C1OC
DTXSID90197271,DSSTox_Substance_Id,DTXSID90197271,Tofacitinib,C[C@@H]1CCN(C[C@@H]1N(C)C1=NC=NC2=C1C=CN2)C(=O)CC#N
DTXSID30184620,DSSTox_Substance_Id,DTXSID30184620,Hexaphosphamide,S=P(NC1CCCCC1)(N1CC1)N1CC1
DTXSID80395249,DSSTox_Substance_Id,DTXSID80395249,MLS000737851,S=C1NC=NC2=C1N=C(NC1=CC=CC=C1)S2
