INCHIKEY,name,orig_target_ann,target_count,targets,DTXSID
LHNIIDJUOCFXAP-UHFFFAOYSA-N,Pictilisib (GDC-0941),PI3K,3,"PIK3CD, MTOR, PIK3CA",DTXSID40241930
FHYUGAJXYORMHI-UHFFFAOYSA-N,SB431542,TGF-beta/Smad,1,TGFBR1,DTXSID7042693
KTEIFNKAUNYNJU-UHFFFAOYSA-N,Crizotinib (PF-02341066),"ALK,c-Met",,,
NDAZATDQFDPQBD-UHFFFAOYSA-N,"Luminespib (AUY-922, NVP-AUY922)",HSP (e.g. HSP90),,,
WRRYQNBXGWABMV-UHFFFAOYSA-N,PHA-665752,c-Met,,,
DMETXMZYCSYQHI-UHFFFAOYSA-N,HA14-1,Bcl-2,,,
HGVNLRPZOWWDKD-UHFFFAOYSA-N,ZSTK474,PI3K,4,"PIK3CG, PIK3CA, PIK3CB, PIK3CD",DTXSID30197179
CDMGBJANTYXAIV-UHFFFAOYSA-N,SB203580,p38 MAPK,4,"MAPK14, MAPK12, MAPK11, MAPK13",DTXSID2040577
ULDXWLCXEDXJGE-UHFFFAOYSA-N,MK-2206 2HCl,Akt,,,
YTYGVVYTPPUYRI-UHFFFAOYSA-N,SU11274,c-Met,,,
BPQMGSKTAYIVFO-UHFFFAOYSA-N,Vismodegib (GDC-0449),Hedgehog/Smoothened,1,SMO,DTXSID40236689
WCWUXEGQKLTGDX-UHFFFAOYSA-N,Brivanib (BMS-540215),"FGFR,VEGFR",2,"FGFR1, KDR",DTXSID60215294
NCNRHFGMJRPRSK-UHFFFAOYSA-N,Belinostat (PXD101),HDAC,9,"HDAC9, HDAC8, HDAC4, HDAC2, HDAC1, HDAC6, HDAC5, HDAC7, HDAC3",DTXSID60194378
MDOJTZQKHMAPBK-UHFFFAOYSA-N,Iniparib (BSI-201),PARP,,,
RDSACQWTXKSHJT-UHFFFAOYSA-N,"Refametinib (RDEA119, Bay 86-9766)",MEK,,,
MAUCONCHVWBMHK-UHFFFAOYSA-N,Abexinostat (PCI-24781),HDAC,,,
PKCDDUHJAFVJJB-UHFFFAOYSA-N,Linsitinib (OSI-906),IGF-1R,,,
XRKYMMUGXMWDAO-UHFFFAOYSA-N,KU-55933 (ATM Kinase Inhibitor),ATM/ATR,,,
PDMUGYOXRHVNMO-UHFFFAOYSA-N,PF-04217903,c-Met,,,
GTUIRORNXIOHQR-UHFFFAOYSA-N,BTZ043 Racemate,Anti-infection,,,
NKJSANVAPCGHJB-UHFFFAOYSA-N,MLN8054,Aurora Kinase,2,"AURKB, AURKA",DTXSID10235987
YCOYDOIWSSHVCK-UHFFFAOYSA-N,Vatalanib (PTK787) 2HCl,VEGFR,2,"KDR, FLT1",DTXSID2046919
ZCHZSBUNJOCWCW-UHFFFAOYSA-N,U0126-EtOH,MEK,,,
OGNYUTNQZVRGMN-UHFFFAOYSA-N,ZM 447439,Aurora Kinase,,,
CZQHHVNHHHRRDU-UHFFFAOYSA-N,LY294002,"Autophagy,PI3K",6,"PIK3CG, PIK3CB, MTOR, PIK3CD, PIK3CA, PRKDC",DTXSID6042650
YULUCECVQOCQFQ-UHFFFAOYSA-N,OSU-03012 (AR-12),PDK,,,
KRBSMMVJJVHVCB-UHFFFAOYSA-N,Danusertib (PHA-739358),"Aurora Kinase,Bcr-Abl,c-RET,FGFR",,,
QQWUGDVOUVUTOY-UHFFFAOYSA-N,TAE684 (NVP-TAE684),ALK,,,
XQVVPGYIWAGRNI-UHFFFAOYSA-N,BI 2536,PLK,,,
BHLXTPHDSZUFHR-UHFFFAOYSA-N,Varespladib (LY315920),Phospholipase (e.g. PLA),,,
BCZUAADEACICHN-UHFFFAOYSA-N,SGX-523,c-Met,1,MET,DTXSID70647300
KGPGFQWBCSZGEL-UHFFFAOYSA-N,GSK690693,Akt,,,
JRWCBEOAFGHNNU-UHFFFAOYSA-N,JNJ-38877605,c-Met,1,MET,DTXSID20677253
FWIVDMJALNEADT-UHFFFAOYSA-N,Odanacatib (MK-0822),Cysteine Protease,1,CTSK,DTXSID40209075
AHJRHEGDXFFMBM-UHFFFAOYSA-N,Palbociclib (PD-0332991) HCl,CDK,,,
HOGVTUZUJGHKPL-UHFFFAOYSA-N,Triciribine,Akt,,,
ONIQOQHATWINJY-UHFFFAOYSA-N,"Cabozantinib (XL184, BMS-907351)","c-Met,VEGFR",2,"MET, KDR",DTXSID10233968
SXIBUDLORNYMST-UHFFFAOYSA-N,Everolimus (RAD001),mTOR,1,MTOR,DTXSID0040599
HRNLUBSXIHFDHP-UHFFFAOYSA-N,Mocetinostat (MGCD0103),HDAC,3,"HDAC1, HDAC3, HDAC2",DTXSID80222945
LQVXSNNAFNGRAH-UHFFFAOYSA-N,BMS-754807,"c-Met,IGF-1R,Trk receptor",,,
IASPBORHOMBZMY-UHFFFAOYSA-N,SRT1720 HCl,Sirtuin,,,
OTSOOHRUMBRSHZ-UHFFFAOYSA-N,YM155 (Sepantronium Bromide),Survivin,,,
GSCPDZHWVNUUFI-UHFFFAOYSA-N,INO-1001 (3-Aminobenzamide),PARP,1,PARP1,DTXSID90188922
ZLHFILGSQDJULK-UHFFFAOYSA-N,Alisertib (MLN8237),Aurora Kinase,1,AURKA,DTXSID30145539
LOLPPWBBNUVNQZ-UHFFFAOYSA-N,AT9283,"Aurora Kinase,Bcr-Abl,JAK",,,
WBXPDJSOTKVWSJ-UHFFFAOYSA-N,Pemetrexed,"DHFR,DNA/RNA Synthesis",3,"TYMS, GART, DHFR","DTXSID8046660, DTXSID2048329"
YPIQVCUJEKAZCP-UHFFFAOYSA-N,Malotilate,Others,,,
LTEJRLHKIYCEOX-UHFFFAOYSA-N,Brivanib Alaninate (BMS-582664),"FGFR,VEGFR",,,
OPIKUXLJQFYMSC-UHFFFAOYSA-N,ADL5859 HCl,Opioid Receptor,,,
YVXVTLGIDOACBJ-UHFFFAOYSA-N,Andarine,Androgen Receptor,,,
SJHRVDFSSOGKDR-UHFFFAOYSA-N,Tanespimycin (17-AAG),HSP (e.g. HSP90),2,"HSP90AB1, HSP90AA1",DTXSID5046352
FUGYCECNWWVFSN-UHFFFAOYSA-N,Alvespimycin (17-DMAG) HCl,HSP (e.g. HSP90),,,
TUCIOBMMDDOEMM-UHFFFAOYSA-N,AG-490 (Tyrphostin B42),EGFR,,,
PURKAOJPTOLRMP-UHFFFAOYSA-N,Ivacaftor (VX-770),CFTR,,,
OUSFTKFNBAZUKL-UHFFFAOYSA-N,SNS-032 (BMS-387032),CDK,,,
QYZOGCMHVIGURT-UHFFFAOYSA-N,Barasertib (AZD1152-HQPA),Aurora Kinase,,,
ROQZUJKOMJECOM-UHFFFAOYSA-N,Docetaxel,Microtubule Associated,1,BCL2,DTXSID0040464
SDUQYLNIPVEERB-UHFFFAOYSA-N,Gemcitabine HCl,"DNA/RNA Synthesis,Autophagy",,,
NDUAXKHGCJIYEQ-UHFFFAOYSA-N,Paclitaxel,"Autophagy,Microtubule Associated",16,"TUBA1A, TUBB2A, TUBA1B, ABCB1, TUBA4A, TUBA3E, TUBA1C, TUBB1, TUBB4A, TUBB3, TUBB, TUBA3D, TUBB4B, TUBB2B, TUBB6, TUBB8",DTXSID9023413
YZDJQTHVDDOVHR-UHFFFAOYSA-N,PLX-4720,Raf,,,
BTIHMVBBUGXLCJ-UHFFFAOYSA-N,"Roscovitine (Seliciclib,CYC202)",CDK,11,"CCNA2, CDK5R1, CCNA1, CCNB1, CDK7, CDK1, CDK5, CDK2, DYRK1A, CCNE1, CDK9",DTXSID20171928
FAYAUAZLLLJJGH-UHFFFAOYSA-N,SNS-314,Aurora Kinase,,,
GAGWJHPBXLXJQN-UHFFFAOYSA-N,Capecitabine,DNA/RNA Synthesis,,,
XUZQTIZWMHMWOC-UHFFFAOYSA-N,Delanzomib (CEP-18770),Proteasome,,,
UJEAABFSXKCSGI-UHFFFAOYSA-N,MK-8245,Dehydrogenase,,,
RVAQIUULWULRNW-UHFFFAOYSA-N,Ganetespib (STA-9090),HSP (e.g. HSP90),,,
ZLHZLMOSPGACSZ-UHFFFAOYSA-N,PA-824,Anti-infection,,,
IFRGXKKQHBVPCQ-UHFFFAOYSA-N,Onalespib (AT13387),HSP (e.g. HSP90),,,
WOSKHXYHFSIKNG-UHFFFAOYSA-N,Lenvatinib (E7080),VEGFR,,,
URCVCIZFVQDVPM-UHFFFAOYSA-N,ABT-751 (E7010),Microtubule Associated,,,
LLVZBTWPGQVVLW-UHFFFAOYSA-N,CP-724714,"EGFR,HER2",,,
NIJJYAXOARWZEE-UHFFFAOYSA-N,Valproic acid sodium salt (Sodium valproate),"GABA Receptor,HDAC,Autophagy",2,"HDAC9, HDAC1",DTXSID6023733
CPRAGQJXBLMUEL-UHFFFAOYSA-N,TGX-221,PI3K,,,
GPSZYOIFQZPWEJ-UHFFFAOYSA-N,CYC116,"Aurora Kinase,VEGFR",,,
CEGSUKYESLWKJP-UHFFFAOYSA-N,JNJ-26854165 (Serdemetan),"E3 Ligase ,p53",,,
JNGVJMBLXIUVRD-UHFFFAOYSA-N,"Ostarine (GTx-024, MK-2866 )",Androgen Receptor,,,
QULDDKSCVCJTPV-UHFFFAOYSA-N,BIIB021,HSP (e.g. HSP90),,,
UNRCMCRRFYFGFX-UHFFFAOYSA-N,Plinabulin (NPI-2358),VDA,,,
FNHKPVJBJVTLMP-UHFFFAOYSA-N,Regorafenib (BAY 73-4506),"c-RET,VEGFR",,,
KLGQSVMIPOVQAX-UHFFFAOYSA-N,XAV-939,Wnt/beta-catenin,3,"PARP1, TNKS2, TNKS",DTXSID60369423
BLQYVHBZHAISJM-UHFFFAOYSA-N,ENMD-2076,"Aurora Kinase,FLT3,VEGFR",,,
ZVTDLPBHTSMEJZ-UHFFFAOYSA-N,Danoprevir (ITMN-191),HCV Protease,,,
NCDNCNXCDXHOMX-UHFFFAOYSA-N,Ritonavir,"HIV Protease,P450 (e.g. CYP17)",2,"ABCB1, CYP3A4",DTXSID1048627
YBBLVLTVTVSKRW-UHFFFAOYSA-N,Anastrozole,Aromatase,1,CYP19A1,DTXSID9022607
ATALOFNDEOCMKK-UHFFFAOYSA-N,Aprepitant,Substance P,,,
VWUXBMIQPBEWFH-UHFFFAOYSA-N,Fulvestrant,Estrogen/progestogen Receptor,2,"ESR2, ESR1",DTXSID4022369
IVTVGDXNLFLDRM-UHFFFAOYSA-N,Raltitrexed,DNA/RNA Synthesis,1,TYMS,DTXSID0046482
UEJJHQNACJXSKW-UHFFFAOYSA-N,Thalidomide,"E3 Ligase ,TNF-alpha",,,
PLIVFNIUGLLCEK-UHFFFAOYSA-N,CUDC-101,"EGFR,HDAC,HER2",,,
BFYIZQONLCFLEV-UHFFFAOYSA-N,Exemestane,Aromatase,1,CYP19A1,DTXSID5023037
DBEPLOCGEIEOCV-UHFFFAOYSA-N,Finasteride,5-alpha Reductase,2,"SRD5A2, SRD5A1",DTXSID3020625
PTOAARAWEBMLNO-UHFFFAOYSA-N,Cladribine,DNA/RNA Synthesis,,,
XAUDJQYHKZQPEU-UHFFFAOYSA-N,Decitabine,DNA Methyltransferase,1,DNMT1,DTXSID7030432
BYUKOOOZTSTOOH-UHFFFAOYSA-N,Dimesna,Others,,,
JWJOTENAMICLJG-UHFFFAOYSA-N,Dutasteride,5-alpha Reductase,2,"SRD5A2, SRD5A1",DTXSID8046452
DRLFMBDRBRZALE-UHFFFAOYSA-N,Melatonin,MT Receptor,2,"MTNR1A, MTNR1B",DTXSID1022421
QTHCAAFKVUWAFI-UHFFFAOYSA-N,PIK-75 HCl,"DNA-PK,PI3K",,,
VHYCDWMUTMEGQY-UHFFFAOYSA-N,Bisoprolol fumarate,Adrenergic Receptor,2,"ADRB1, ADRB2",DTXSID6022682
SPMVMDHWKHCIDT-UHFFFAOYSA-N,Tivozanib (AV-951),"c-Kit,PDGFR,VEGFR",,,
OEMKXOUYUCIRSC-UHFFFAOYSA-N,Doxorubicin (Adriamycin) HCl,Topoisomerase,,,
GHASVSINZRGABV-UHFFFAOYSA-N,"Fluorouracil (5-Fluoracil, 5-FU)",DNA/RNA Synthesis,1,TYMS,DTXSID2020634
FBOZXECLQNJBKD-UHFFFAOYSA-N,Methotrexate,DHFR,2,"DHFR, TYMS",DTXSID4020822
YTKUWDBFDASYHO-UHFFFAOYSA-N,Bendamustine HCl,DNA/RNA Synthesis,,,
IXOXBSCIXZEQEQ-UHFFFAOYSA-N,Nelarabine,DNA/RNA Synthesis,,,
,Carboplatin,DNA/RNA Synthesis,,,
WDDPHFBMKLOVOX-UHFFFAOYSA-N,Clofarabine,DNA/RNA Synthesis,2,"RRM1, POLA1",DTXSID5046437
FGTCROZDHDSNIO-UHFFFAOYSA-N,OSI-930,"c-Kit,CSF-1R,VEGFR",,,
BMKDZUISNHGIBY-UHFFFAOYSA-N,"Dexrazoxane HCl (ICRF-187, ADR-529)",Topoisomerase,1,TOP2A,DTXSID3040647
SSJXIUAHEKJCMH-UHFFFAOYSA-N,Oxaliplatin,DNA/RNA Synthesis,,,
VJJPUSNTGOMMGY-UHFFFAOYSA-N,Etoposide,Topoisomerase,1,TOP2A,DTXSID5023035
RFSMUFRPPYDYRD-UHFFFAOYSA-N,KU-0063794,mTOR,,,
CAOWNCTTWGSKDO-UHFFFAOYSA-N,Fludarabine Phosphate,DNA/RNA Synthesis,,,
BIIVYFLTOXDAOV-UHFFFAOYSA-N,Flavopiridol (Alvocidib),CDK,,,
UCFGDBYHRUNTLO-UHFFFAOYSA-N,Topotecan HCl,Topoisomerase,2,"TOP1, ABCG2","DTXSID3042685, DTXSID1045952"
HPJKCIUCZWXJDR-UHFFFAOYSA-N,Letrozole,Aromatase,1,CYP19A1,DTXSID4023202
VVIAGPKUTFNRDU-UHFFFAOYSA-N,Leucovorin Calcium Pentahydrate,Others,,,
BPEGJWRSRHCHSN-UHFFFAOYSA-N,Temozolomide,"DNA/RNA Synthesis,Autophagy",,,
NKANXQFJJICGDU-UHFFFAOYSA-N,Tamoxifen,"Estrogen/progestogen Receptor,Autophagy",3,"ESR1, ESR2, CYP3A4",DTXSID1034187
OGWKCGZFUXNPDA-UHFFFAOYSA-N,Vincristine sulfate,"Autophagy,Microtubule Associated",2,"ABCB1, TUBB",DTXSID1032278
YJYPHIXNFHFHND-UHFFFAOYSA-N,Agomelatine,5-HT Receptor,,,
FOFDIMHVKGYHRU-UHFFFAOYSA-N,Amuvatinib (MP-470),"c-Kit,FLT3,PDGFR",,,
JNODQFNWMXFMEV-UHFFFAOYSA-N,Latrepirdine 2HCl,"5-HT Receptor,GluR,Histamine Receptor",,,
VHOGYURTWQBHIL-UHFFFAOYSA-N,Leflunomide,Dehydrogenase,1,DHODH,DTXSID9023201
KDKUVYLMPJIGKA-UHFFFAOYSA-N,JNJ-7706621,"Aurora Kinase,CDK",,,
WXCXUHSOUPDCQV-UHFFFAOYSA-N,Enzalutamide (MDV3100),Androgen Receptor,,,
WUQMVSOZWZOUJR-UHFFFAOYSA-N,Dienogest,Estrogen/progestogen Receptor,,,
QDGZDCVAUDNJFG-UHFFFAOYSA-N,Entecavir Hydrate,Reverse Transcriptase,,,
QEFAQIPZVLVERP-UHFFFAOYSA-N,Nepafenac,COX,,,
POGQSBRIGCQNEG-UHFFFAOYSA-N,Rufinamide,Sodium Channel,,,
RAGOYPUPXAKGKH-UHFFFAOYSA-N,Posaconazole,P450 (e.g. CYP17),1,ERG11,DTXSID6049066
DTGLZDAWLRGWQN-UHFFFAOYSA-N,Prasugrel,P2 Receptor,,,
YLXDSYKOBKBWJQ-UHFFFAOYSA-N,Ramelteon,MT Receptor,2,"MTNR1B, MTNR1A",DTXSID6045951
VDHAWDNDOKGFTD-UHFFFAOYSA-N,Cinacalcet HCl,CaSR,1,CASR,DTXSID8048286
RZEKVGVHFLEQIL-UHFFFAOYSA-N,Celecoxib,COX,6,"CA2, CA1, CA9, PTGS1, CA12, PTGS2",DTXSID0022777
XEAOPVUAMONVLA-UHFFFAOYSA-N,Avagacestat (BMS-708163),"Beta Amyloid,Gamma-secretase",,,
AQGNHMOJWBZFQQ-UHFFFAOYSA-N,CHIR-99021 (CT99021),GSK-3,,,
DXCUKNQANPLTEJ-UHFFFAOYSA-N,PD173074,"FGFR,VEGFR",,,
GPXBXXGIAQBQNI-UHFFFAOYSA-N,"Vemurafenib (PLX4032, RG7204)",Raf,1,BRAF,DTXSID50238710
QOOXKCQTBVDROE-UHFFFAOYSA-N,Acarbose,Others,3,"GAA, MGAM, SI",DTXSID8046034
VAVXGGRQQJZYBL-UHFFFAOYSA-N,BX-795,"IκB/IKK,PDK",,,
DMMILYKXNCVKOJ-UHFFFAOYSA-N,BX-912,PDK,,,
LZCDAPDGXCYOEH-UHFFFAOYSA-N,Adapalene,Retinoid Receptor,,,
NTJOBXMMWNYJFB-UHFFFAOYSA-N,Amisulpride,Dopamine Receptor,,,
ZXNRTKGTQJPIJK-UHFFFAOYSA-N,Aniracetam,AMPA Receptor-kainate Receptor-NMDA Receptor,,,
BLUAFEHZUWYNDE-UHFFFAOYSA-N,Artemisinin,Anti-infection,,,
VSWBSWWIRNCQIJ-UHFFFAOYSA-N,Asenapine maleate,"5-HT Receptor,Adrenergic Receptor",,,
XPCFTKFZXHTYIP-UHFFFAOYSA-N,Benazepril HCl,RAAS,,,
UNISKOOZAQCSPC-UHFFFAOYSA-N,Budesonide,Glucocorticoid Receptor,1,NR3C1,DTXSID8020202
AOCCBINRVIKJHY-UHFFFAOYSA-N,Carmofur,DNA/RNA Synthesis,,,
SYLIRTRYLBYOBO-UHFFFAOYSA-N,Celastrol,Proteasome,,,
ZKLPARSLTMPFCP-UHFFFAOYSA-N,Cetirizine DiHCl,Histamine Receptor,1,HRH1,DTXSID4022787
BYAAPSQQRDMOAQ-UHFFFAOYSA-N,Cilnidipine,Calcium Channel,,,
RRGUKTPIGVIEKM-UHFFFAOYSA-N,Cilostazol,PDE,1,PDE3A,DTXSID9045132
HESCAJZNRMSMJG-UHFFFAOYSA-N,Epothilone A,Microtubule Associated,,,
ODKNJVUHOIMIIZ-UHFFFAOYSA-N,Floxuridine,DNA/RNA Synthesis,,,
WFWLQNSHRPWKFK-UHFFFAOYSA-N,"Tegafur (FT-207, NSC 148958)",DNA/RNA Synthesis,,,
HOMGKSMUEGBAAB-UHFFFAOYSA-N,Ifosfamide,DNA/RNA Synthesis,,,
IMZOHRNGPZTCSG-UHFFFAOYSA-N,Megestrol Acetate,"Androgen Receptor,Estrogen/progestogen Receptor",,,
GLVAUDGFNGKCSF-UHFFFAOYSA-N,Mercaptopurine (6-MP),DNA/RNA Synthesis,,,
ZDNFRAXSAKZHLL-UHFFFAOYSA-N,Pamidronate Disodium,Others,1,FDPS,DTXSID4023414
AGRCPNMCOXLKFO-UHFFFAOYSA-N,Streptozotocin (STZ),DNA alkylator,,,
LLIFMNUXGDHTRO-UHFFFAOYSA-N,Ki16425,LPA Receptor,1,LPAR1,DTXSID90438772
HRYLQFBHBWLLLL-UHFFFAOYSA-N,Costunolide,Telomerase,,,
GJFCONYVAUNLKB-UHFFFAOYSA-N,Dexamethasone (DHAP),"Autophagy,IL Receptor",5,"NR3C1, NR3C2, NR1I2, AR, PGR","DTXSID3020384, DTXSID3022667"
RUZYUOTYCVRMRZ-UHFFFAOYSA-N,Doxazosin Mesylate,Adrenergic Receptor,3,"ADRA1B, ADRA1A, ADRA1D",DTXSID7022964
KZQYIMCESJLPQH-UHFFFAOYSA-N,Edaravone,Others,,,
NNYBQONXHNTVIJ-UHFFFAOYSA-N,Etodolac,COX,1,PTGS2,DTXSID9020615
NPUKDXXFDDZOKR-UHFFFAOYSA-N,Etomidate,GABA Receptor,,,
WKGXYQFOCVYPAC-UHFFFAOYSA-N,Felbamate,NMDAR,,,
RFHAOTPXVQNOHP-UHFFFAOYSA-N,Fluconazole,P450 (e.g. CYP17),,,
