SMILES_original,SMILES_standardized,InChI_standardized,InChIKey_standardized,EMBL_Chemcore_ID,Descriptive name,Pesticide type,CAS-Number,Monoisotopic mass,InChI,IUPAC-Name,Supplier,Supplier Object Id,CHEMBL_ID,ChEBI
0,,,,555050,Spinosad,,168316-95-8,"7,314,608",-,-,SIGMA-ALDRICH,33706-50MG,CHEMBL1874717,
0,,,,555053,Ametoctradin hydrochloride Metabolite M6,Fungicide,0,"2,491,226",,,SIGMA-ALDRICH,18236-10MG,,
0,,,,555075,Ametoctradin hydrochloride Metabolite M6,Fungicide,0,"2,771,539",,,SIGMA-ALDRICH,18501-10MG,,
0,,,,555091,"2?-[(4,6-Dimethoxy-1,3,5-triazin-2-yl)carbonyl]-1,1,6?-trifluoro-N-methylmethanesulfonanilide",Herbicide,874195-61-6,"4,060,559",GBHVIWKSEHWFDD-UHFFFAOYSA-N,"N-[2-(4,6-Dimethoxy-1,3,5-triazine-2-carbonyl)-6-fluorophenyl]-1,1-difluoro-N-methylmethanesulfonamide",SIGMA-ALDRICH,34552-50MG,,
0,,,,555099,Trifloxystrobin acid,Fungicide,252913-85-2,"394,114",ISZQNKFXNXQTTF-NACSPRHISA-N,(2E)-(Methoxyimino)[2-({[(E)-{1-[3-(trifluoromethyl)phenyl]ethylidene}amino]oxy}methyl)phenyl]acetic acid,SIGMA-ALDRICH,34518-10MG,,
0,,,,555100,"1,3,5-Triazin-2-amine, 4-methoxy-6-(trifluoromethyl)-",Herbicide,07/05/5311,"1,940,415",DTVMLDILWYLGLA-UHFFFAOYSA-N,"4-Methoxy-6-(trifluoromethyl)-1,3,5-triazin-2-amine",SIGMA-ALDRICH,80839-10MG,,
0,,,,555101,alpha-Cyhalothrin,Insecticide,68085-85-8,"4,491,006",ZXQYGBMAQZUVMI-UNOMPAQXSA-N,"Cyano(3-phenoxyphenyl)methyl 3-[(1Z)-2-chloro-3,3,3-trifluoroprop-1-en-1-yl]-2,2-dimethylcyclopropane-1-carboxylate",SIGMA-ALDRICH,74767-100MG,CHEMBL2105498,
0,,,,555152,4-[(4-Cyclopropyl-6-methyl-2-pyrimidinyl)amino]phenol,Fungicide,195157-66-5,"2,411,215",LBDZGKRFRHHISM-UHFFFAOYSA-N,4-[(4-Cyclopropyl-6-methylpyrimidin-2-yl)amino]phenol,SIGMA-ALDRICH,80832-10MG,,
0,,,,555191,Dichlorprop-isooctyl,Herbicide,28631-35-8,"3,461,103",-,-,SIGMA-ALDRICH,34551-25MG,,
0,,,,555200,(2-Carboxyethyl)dimethylsulfonium Chloride,,4337-33-1,"135,048",RRUMKKGRKSSZKY-UHFFFAOYSA-N,(2-Carboxyethyl)(dimethyl)sulfanium chloride,SIGMA-ALDRICH,80828-100MG,,
0,,,,555216,"2-Amino-3-(1H-1,2,4-triazol-1-yl)propano",,0,"1,560,647",,,SIGMA-ALDRICH,74418-50MG,,
0,,,,555227,DIMOXYSTROBIN METABOLITE 505M09,Fungicide,0,"3,561,372",,,SIGMA-ALDRICH,93127-10MG,,
0,,,,555268,"4-(7,9-Dioxohexahydro-7H-pyrazolo[1,2-d][1,4,5]oxadiazepin-8-yl)-3,5-diethylbenzoic acid",Herbicide,881376-42-7,"3,461,529",PZURTZWDEUDQOT-UHFFFAOYSA-N,"4-(7,9-Dioxohexahydro-7H-pyrazolo[1,2-d][1,4,5]oxadiazepin-8-yl)-3,5-diethylbenzoic acid",SIGMA-ALDRICH,80876-10MG,,
0,,,,555305,C12-14-Alkyl(ethylbenzyl)dimethylammonium chlorides,,85409-23-0,"3,392,693",-,-,SIGMA-ALDRICH,32279-100MG,,
0,,,,555330,Diquat metabolite Dipyridone,Herbicide,35022-72-1,"2,140,742",,,SIGMA-ALDRICH,89003-10MG,,
0,,,,555335,Diquat metabolite TOPPS,Herbicide,16347-08-03,"1,490,715",,,SIGMA-ALDRICH,80884-10MG,,
0,,,,555344,Emamectin benzoate,,155569-91-8,"1,007,561",-,-,SIGMA-ALDRICH,31733-250MG,CHEMBL1883852,
0,,,,555382,Ferimzone,Fungicide,89269-64-7,"2,541,531",GOWLARCWZRESHU-AQTBWJFISA-N,"4,6-Dimethyl-2-{(2Z)-2-[1-(2-methylphenyl)ethylidene]hydrazinyl}pyrimidine",SIGMA-ALDRICH,74907-100MG,CHEMBL2286690,CHEBI:81844
0,,,,555385,HYDROXYTEBUCONAZOLE,Fungicide,212267-64-6,"3,231,401",,,SIGMA-ALDRICH,72843-10MG,,
0,,,,555392,2-Amino-4-(methylsulfonyl)benzoic acid,Herbicide,393085-45-5,"2,150,252",KFOGGDGNOLZBNY-UHFFFAOYSA-N,2-Amino-4-(methanesulfonyl)benzoic acid,SIGMA-ALDRICH,18124-10MG,,
0,,,,555407,METALAXYL METABOLITE CGA 108906,Herbicide,104390-56-9,"2,951,056",,,SIGMA-ALDRICH,32399-25MG,,
0,,,,555408,metazachlor OXA,Herbicide,1231244-60-2,"2,731,113",PHMHHVKFXZNTKU-UHFFFAOYSA-N,"{(2,6-Dimethylphenyl)[(1H-pyrazol-1-yl)methyl]amino}(oxo)acetic acid",SIGMA-ALDRICH,89078-10MG,,
0,,,,555466,(S)-Metalaxyl acid,Herbicide,75596-99-5,"2,791,471",ZRIKZVLHMGYCIR-NSHDSACASA-N,"N-(2,6-Dimethylphenyl)-N-(methoxyacetyl)-L-alanine",SIGMA-ALDRICH,80838-10MG,,
C(Nc1ncnc2nc[nH]c12)c3ccccc3,c1ccc(CN=c2[nH]cnc3[nH]cnc23)cc1,"InChI=1S/C12H11N5/c1-2-4-9(5-3-1)6-13-11-10-12(15-7-14-10)17-8-16-11/h1-5,7-8H,6H2,(H2,13,14,15,16,17)",NWBJYWHLCVSVIJ-UHFFFAOYSA-N,420343,N-Benzyladenine,Plant growth regulator,1214-39-7,"2,251,014",NWBJYWHLCVSVIJ-UHFFFAOYSA-N,N-Benzyl-1H-purin-6-amine,SIGMA-ALDRICH,67619-100MG,CHEMBL228862,CHEBI:29022
Nc1ccc(cc1)S(=O)(=O)Nc2nccs2,Nc1ccc(S(=O)(=O)N=c2[nH]ccs2)cc1,"InChI=1S/C9H9N3O2S2/c10-7-1-3-8(4-2-7)16(13,14)12-9-11-5-6-15-9/h1-6H,10H2,(H,11,12)",JNMRHUJNCSQMMB-UHFFFAOYSA-N,420351,Sulfathiazole,Chemotherapeutics,72-14-0,"2,550,136",JNMRHUJNCSQMMB-UHFFFAOYSA-N,"4-Amino-N-(1,3-thiazol-2-yl)benzene-1-sulfonamide",SIGMA-ALDRICH,46902-250MG-R,CHEMBL437,CHEBI:9337
COP(=O)(OC)C(O)C(Cl)(Cl)Cl,COP(=O)(OC)C(O)C(Cl)(Cl)Cl,"InChI=1S/C4H8Cl3O4P/c1-10-12(9,11-2)3(8)4(5,6)7/h3,8H,1-2H3",NFACJZMKEDPNKN-UHFFFAOYSA-N,420473,Trichlorfon,Insecticide,52-68-6,"2,559,226",NFACJZMKEDPNKN-UHFFFAOYSA-N,"Dimethyl (2,2,2-trichloro-1-hydroxyethyl)phosphonate",SIGMA-ALDRICH,45698-50MG-R,CHEMBL167150,
c1ccc2[nH]c(nc2c1)-c3cscn3,c1ccc2[nH]c(-c3cscn3)nc2c1,"InChI=1S/C10H7N3S/c1-2-4-8-7(3-1)12-10(13-8)9-5-14-6-11-9/h1-6H,(H,12,13)",WJCNZQLZVWNLKY-UHFFFAOYSA-N,420656,Thiabendazole,Fungicide,148-79-8,"2,010,361",WJCNZQLZVWNLKY-UHFFFAOYSA-N,"2-(1,3-Thiazol-4-yl)-1H-benzimidazole",SIGMA-ALDRICH,45684-250MG,CHEMBL625,
[H][C@]1(C[C@@H](C)C[C@H](C)C1=O)[C@H](O)CC2CC(=O)NC(=O)C2,CC1CC(C)C(=O)C(C(O)CC2CC(=O)NC(=O)C2)C1,"InChI=1S/C15H23NO4/c1-8-3-9(2)15(20)11(4-8)12(17)5-10-6-13(18)16-14(19)7-10/h8-12,17H,3-7H2,1-2H3,(H,16,18,19)",YPHMISFOHDHNIV-UHFFFAOYSA-N,420775,Cycloheximide,Fungicide,66-81-9,"2,811,627",YPHMISFOHDHNIV-FSZOTQKASA-N,"4-{(2R)-2-[(1S,3S,5S)-3,5-Dimethyl-2-oxocyclohexyl]-2-hydroxyethyl}piperidine-2,6-dione",SIGMA-ALDRICH,46401-100MG-R,CHEMBL123292,CHEBI:27641
CCOc1ccc2NC(C)(C)C=C(C)c2c1,CCOc1ccc2c(c1)C(C)=CC(C)(C)N2,"InChI=1S/C14H19NO/c1-5-16-11-6-7-13-12(8-11)10(2)9-14(3,4)15-13/h6-9,15H,5H2,1-4H3",DECIPOUIJURFOJ-UHFFFAOYSA-N,420853,Ethoxyquin,Fungicide,91-53-2,"2,171,467",DECIPOUIJURFOJ-UHFFFAOYSA-N,"6-Ethoxy-2,2,4-trimethyl-1,2-dihydroquinoline",SIGMA-ALDRICH,31519-250MG,CHEMBL172064,CHEBI:77323
[O-]C(=O)c1ccccc1.CC[N+](CC)(CC(=O)Nc2c(C)cccc2C)Cc3ccccc3,CC[N+](CC)(CC(=O)Nc1c(C)cccc1C)Cc1ccccc1,"InChI=1S/C21H28N2O/c1-5-23(6-2,15-19-13-8-7-9-14-19)16-20(24)22-21-17(3)11-10-12-18(21)4/h7-14H,5-6,15-16H2,1-4H3/p+1",ZFQMTVNLDNXRNQ-UHFFFAOYSA-O,420993,Denatonium benzoate,repellent,3734-33-6,"325,228",VWTINHYPRWEBQY-UHFFFAOYSA-N,"N-Benzyl-2-(2,6-dimethylanilino)-N,N-diethyl-2-oxoethan-1-aminium benzoate",SIGMA-ALDRICH,52487-100MG,CHEMBL1371493,
Clc1ccc(C(Cn2ccnc2)OCC=C)c(Cl)c1,C=CCOC(Cn1ccnc1)c1ccc(Cl)cc1Cl,"InChI=1S/C14H14Cl2N2O/c1-2-7-19-14(9-18-6-5-17-10-18)12-4-3-11(15)8-13(12)16/h2-6,8,10,14H,1,7,9H2",PZBPKYOVPCNPJY-UHFFFAOYSA-N,420997,Imazalil,Fungicide,35554-44-0,"2,960,483",PZBPKYOVPCNPJY-UHFFFAOYSA-N,"1-{2-(2,4-Dichlorophenyl)-2-[(prop-2-en-1-yl)oxy]ethyl}-1H-imidazole",SIGMA-ALDRICH,32007-100MG,CHEMBL356918,CHEBI:83829
OS(O)(=O)=O.Clc1ccc(C(Cn2ccnc2)OCC=C)c(Cl)c1,C=CCOC(Cn1ccnc1)c1ccc(Cl)cc1Cl,"InChI=1S/C14H14Cl2N2O/c1-2-7-19-14(9-18-6-5-17-10-18)12-4-3-11(15)8-13(12)16/h2-6,8,10,14H,1,7,9H2",PZBPKYOVPCNPJY-UHFFFAOYSA-N,420997,Imazalil sulfate,Fungicide,58594-72-2,"2,970,561",XVTXMTOYQVRHSK-UHFFFAOYSA-N,"Sulfuric acid--1-{2-(2,4-dichlorophenyl)-2-[(prop-2-en-1-yl)oxy]ethyl}-1H-imidazole (1/1)",SIGMA-ALDRICH,33997-100MG-R,CHEMBL356918,
Oc1c(Cl)cc(Cl)c(Cl)c1Cc2c(O)c(Cl)cc(Cl)c2Cl,Oc1c(Cl)cc(Cl)c(Cl)c1Cc1c(O)c(Cl)cc(Cl)c1Cl,"InChI=1S/C13H6Cl6O2/c14-6-2-8(16)12(20)4(10(6)18)1-5-11(19)7(15)3-9(17)13(5)21/h2-3,20-21H,1H2",ACGUYXCXAPNIKK-UHFFFAOYSA-N,440037,Hexachlorophene,Chemotherapeutics,70-30-4,"4,038,499",ACGUYXCXAPNIKK-UHFFFAOYSA-N,"2,2'-Methylenebis(3,4,6-trichlorophenol)",SIGMA-ALDRICH,45526-250MG,CHEMBL496,CHEBI:5693
CN1CCC[C@H]1c2cccnc2,CN1CCCC1c1cccnc1,"InChI=1S/C10H14N2/c1-12-7-3-5-10(12)9-4-2-6-11-8-9/h2,4,6,8,10H,3,5,7H2,1H3",SNICXCGAKADSCV-UHFFFAOYSA-N,440054,Nicotine,Insecticide,54-11-5,"1,621,157",SNICXCGAKADSCV-JTQLQIEISA-N,3-[(2S)-1-Methylpyrrolidin-2-yl]pyridine,SIGMA-ALDRICH,36733-250MG,CHEMBL3,CHEBI:17688
OC(=O)C(Cl)Cl,O=C(O)C(Cl)Cl,"InChI=1S/C2H2Cl2O2/c3-1(4)2(5)6/h1H,(H,5,6)",JXTHNDFMNIQAHM-UHFFFAOYSA-N,440379,Dichloroacetic acid,Insecticide,79-43-6,"1,279,432",JXTHNDFMNIQAHM-UHFFFAOYSA-N,Dichloroacetic acid,SIGMA-ALDRICH,36545-100MG,CHEMBL13960,CHEBI:36386
Oc1ccc(cc1[N+]([O-])=O)[N+]([O-])=O,O=[N+]([O-])c1ccc(O)c([N+](=O)[O-])c1,"InChI=1S/C6H4N2O5/c9-6-2-1-4(7(10)11)3-5(6)8(12)13/h1-3,9H",UFBJCMHMOXMLKC-UHFFFAOYSA-N,445114,"2,4-Dinitrophenol",Herbicide,51-28-5,"184,012",UFBJCMHMOXMLKC-UHFFFAOYSA-N,"2,4-Dinitrophenol",SIGMA-ALDRICH,34334-250MG,CHEMBL273386,CHEBI:84561
CCCCN(CC)c1c(cc(cc1[N+]([O-])=O)C(F)(F)F)[N+]([O-])=O,CCCCN(CC)c1c([N+](=O)[O-])cc(C(F)(F)F)cc1[N+](=O)[O-],"InChI=1S/C13H16F3N3O4/c1-3-5-6-17(4-2)12-10(18(20)21)7-9(13(14,15)16)8-11(12)19(22)23/h7-8H,3-6H2,1-2H3",SMDHCQAYESWHAE-UHFFFAOYSA-N,445647,Benfluralin,Herbicide,1861-40-1,"3,351,093",SMDHCQAYESWHAE-UHFFFAOYSA-N,"N-Butyl-N-ethyl-2,6-dinitro-4-(trifluoromethyl)aniline",SIGMA-ALDRICH,68087-100MG,CHEMBL1256668,
OC(=O)CCCc1c[nH]c2ccccc12,O=C(O)CCCc1c[nH]c2ccccc12,"InChI=1S/C12H13NO2/c14-12(15)7-3-4-9-8-13-11-6-2-1-5-10(9)11/h1-2,5-6,8,13H,3-4,7H2,(H,14,15)",JTEDVYBZBROSJT-UHFFFAOYSA-N,446041,Indole-3-butyric acid,Plant growth regulator,133-32-4,"2,030,946",JTEDVYBZBROSJT-UHFFFAOYSA-N,4-(1H-Indol-3-yl)butanoic acid,SIGMA-ALDRICH,45532-250MG,CHEMBL582878,CHEBI:33070
CCOC(=O)[C@@H](C)Oc1ccc(Oc2nc3ccc(Cl)cc3o2)cc1,CCOC(=O)C(C)Oc1ccc(Oc2nc3ccc(Cl)cc3o2)cc1,"InChI=1S/C18H16ClNO5/c1-3-22-17(21)11(2)23-13-5-7-14(8-6-13)24-18-20-15-9-4-12(19)10-16(15)25-18/h4-11H,3H2,1-2H3",PQKBPHSEKWERTG-UHFFFAOYSA-N,446106,Fenoxaprop-P-ethyl,Herbicide,71283-80-2,"3,610,717",PQKBPHSEKWERTG-LLVKDONJSA-N,"Ethyl (2R)-2-{4-[(6-chloro-1,3-benzoxazol-2-yl)oxy]phenoxy}propanoate",SIGMA-ALDRICH,36851-250MG,CHEMBL37932,CHEBI:5008
CCOC(=O)C(C)Oc1ccc(Oc2nc3ccc(Cl)cc3o2)cc1,CCOC(=O)C(C)Oc1ccc(Oc2nc3ccc(Cl)cc3o2)cc1,"InChI=1S/C18H16ClNO5/c1-3-22-17(21)11(2)23-13-5-7-14(8-6-13)24-18-20-15-9-4-12(19)10-16(15)25-18/h4-11H,3H2,1-2H3",PQKBPHSEKWERTG-UHFFFAOYSA-N,446106,Fenoxaprop-ethyl,Herbicide,66441-23-4,"3,610,717",PQKBPHSEKWERTG-UHFFFAOYSA-N,"Ethyl 2-{4-[(6-chloro-1,3-benzoxazol-2-yl)oxy]phenoxy}propanoate",SIGMA-ALDRICH,45518-250MG,CHEMBL37932,CHEBI:5008
CCN(Cc1ccc(Cl)nc1)\C(NC)=C\[N+]([O-])=O,CCN(Cc1ccc(Cl)nc1)C(C[N+](=O)[O-])=NC,"InChI=1S/C11H15ClN4O2/c1-3-15(11(13-2)8-16(17)18)7-9-4-5-10(12)14-6-9/h4-6H,3,7-8H2,1-2H3",VLLBCTKFTIILHS-UHFFFAOYSA-N,446254,(E)-Nitenpyram,Insecticide,150824-47-8,"2,700,884",CFRPSFYHXJZSBI-DHZHZOJOSA-N,"(E)-N~1~-[(6-Chloropyridin-3-yl)methyl]-N~1~-ethyl-N'~1~-methyl-2-nitroethene-1,1-diamine",SIGMA-ALDRICH,46077-100MG,CHEMBL259728,
Clc1ccc(cc1)C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl,Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1,"InChI=1S/C14H9Cl5/c15-11-5-1-9(2-6-11)13(14(17,18)19)10-3-7-12(16)8-4-10/h1-8,13H",YVGGHNCTFXOJCH-UHFFFAOYSA-N,446465,Dichlorodiphenyltrichloroethane,Insecticide,50-29-3,"3,519,147",YVGGHNCTFXOJCH-UHFFFAOYSA-N,"1,1'-(2,2,2-Trichloroethane-1,1-diyl)bis(4-chlorobenzene)",SIGMA-ALDRICH,31041-100MG,CHEMBL416898,CHEBI:16130
CC(C)OC(=O)Nc1cccc(Cl)c1,CC(C)OC(=O)Nc1cccc(Cl)c1,"InChI=1S/C10H12ClNO2/c1-7(2)14-10(13)12-9-5-3-4-8(11)6-9/h3-7H,1-2H3,(H,12,13)",CWJSHJJYOPWUGX-UHFFFAOYSA-N,446804,Chlorpropham,Herbicide,101-21-3,"2,130,557",CWJSHJJYOPWUGX-UHFFFAOYSA-N,Propan-2-yl (3-chlorophenyl)carbamate,SIGMA-ALDRICH,45393-250MG,CHEMBL1492698,CHEBI:34630
CCCOC(=O)c1ccc(O)cc1,CCCOC(=O)c1ccc(O)cc1,"InChI=1S/C10H12O3/c1-2-7-13-10(12)8-3-5-9(11)6-4-8/h3-6,11H,2,7H2,1H3",QELSKZZBTMNZEB-UHFFFAOYSA-N,446860,Propylparaben,Preserving agent,94-13-3,"1,800,786",QELSKZZBTMNZEB-UHFFFAOYSA-N,Propyl 4-hydroxybenzoate,SIGMA-ALDRICH,16897-100MG,CHEMBL194014,CHEBI:32063
Oc1ccccc1,Oc1ccccc1,"InChI=1S/C6H6O/c7-6-4-2-1-3-5-6/h1-5,7H",ISWSIDIOOBJBQZ-UHFFFAOYSA-N,447556,Phenol,Chemotherapeutics,108-95-2,"9,404,186",ISWSIDIOOBJBQZ-UHFFFAOYSA-N,Phenol,SIGMA-ALDRICH,35952-1G,CHEMBL14060,CHEBI:15882
[O-][N+](=O)NC1=NCCN1Cc2ccc(Cl)nc2,O=[N+]([O-])NC1=NCCN1Cc1ccc(Cl)nc1,"InChI=1S/C9H10ClN5O2/c10-8-2-1-7(5-12-8)6-14-4-3-11-9(14)13-15(16)17/h1-2,5H,3-4,6H2,(H,11,13)",YWTYJOPNNQFBPC-UHFFFAOYSA-N,447562,Imidacloprid,Insecticide,138261-41-3,"2,550,523",YWTYJOPNNQFBPC-UHFFFAOYSA-N,N-{(2E)-1-[(6-Chloropyridin-3-yl)methyl]imidazolidin-2-ylidene}nitramide,SIGMA-ALDRICH,37894-100MG,CHEMBL406819,
Clc1ccc(OS(=O)(=O)c2ccc(Cl)cc2)cc1,O=S(=O)(Oc1ccc(Cl)cc1)c1ccc(Cl)cc1,"InChI=1S/C12H8Cl2O3S/c13-9-1-5-11(6-2-9)17-18(15,16)12-7-3-10(14)4-8-12/h1-8H",RZXLPPRPEOUENN-UHFFFAOYSA-N,448148,Chlorfenson,Acaricide,80-33-1,"3,019,571",RZXLPPRPEOUENN-UHFFFAOYSA-N,4-Chlorophenyl 4-chlorobenzene-1-sulfonate,SIGMA-ALDRICH,36124-100MG,CHEMBL499017,CHEBI:82155
CC1=C(Cl)C(=O)N(C(=O)N1)C(C)(C)C,Cc1[nH]c(=O)n(C(C)(C)C)c(=O)c1Cl,"InChI=1S/C9H13ClN2O2/c1-5-6(10)7(13)12(8(14)11-5)9(2,3)4/h1-4H3,(H,11,14)",NBQCNZYJJMBDKY-UHFFFAOYSA-N,460914,Terbacil,Herbicide,5902-51-2,"2,160,666",NBQCNZYJJMBDKY-UHFFFAOYSA-N,"3-tert-Butyl-5-chloro-6-methylpyrimidine-2,4(1H,3H)-dione",SIGMA-ALDRICH,45675-250MG,,CHEBI:9447
COc1cc(CC=C)ccc1O,C=CCc1ccc(O)c(OC)c1,"InChI=1S/C10H12O2/c1-3-4-8-5-6-9(11)10(7-8)12-2/h3,5-7,11H,1,4H2,2H3",RRAFCDWBNXTKKO-UHFFFAOYSA-N,472166,Eugenol,Insect Attractants,97-53-0,"1,640,837",RRAFCDWBNXTKKO-UHFFFAOYSA-N,2-Methoxy-4-(prop-2-en-1-yl)phenol,SIGMA-ALDRICH,35995-250MG,CHEMBL42710,CHEBI:4917
Oc1ccc(Cl)cc1,Oc1ccc(Cl)cc1,"InChI=1S/C6H5ClO/c7-5-1-3-6(8)4-2-5/h1-4,8H",WXNZTHHGJRFXKQ-UHFFFAOYSA-N,472285,4-Chlorophenol,Chemical,106-48-9,"1,280,029",WXNZTHHGJRFXKQ-UHFFFAOYSA-N,4-Chlorophenol,SIGMA-ALDRICH,35826-1G,CHEMBL57053,CHEBI:28078
CC(=O)CC(c1ccccc1)C2=C(O)c3ccccc3OC2=O,CC(=O)CC(c1ccccc1)c1c(O)c2ccccc2oc1=O,"InChI=1S/C19H16O4/c1-12(20)11-15(13-7-3-2-4-8-13)17-18(21)14-9-5-6-10-16(14)23-19(17)22/h2-10,15,21H,11H2,1H3",PJVWKTKQMONHTI-UHFFFAOYSA-N,472403,Warfarin,Rodenticide,81-81-2,"3,081,049",PJVWKTKQMONHTI-UHFFFAOYSA-N,4-Hydroxy-3-(3-oxo-1-phenylbutyl)-2H-1-benzopyran-2-one,SIGMA-ALDRICH,45706-250MG-R,CHEMBL1464,CHEBI:10033
Nc1ccncc1,N=c1cc[nH]cc1,"InChI=1S/C5H6N2/c6-5-1-3-7-4-2-5/h1-4H,(H2,6,7)",NUKYPUAOHBNCPY-UHFFFAOYSA-N,472481,4-Aminopyridine,Chemotherapeutics,504-24-5,"940,531",NUKYPUAOHBNCPY-UHFFFAOYSA-N,Pyridin-4-amine,SIGMA-ALDRICH,36687-1G,CHEMBL284348,
Cc1cc(C(C#N)c2ccc(Cl)cc2)c(Cl)cc1NC(=O)c3cc(I)cc(I)c3O,Cc1cc(C(C#N)c2ccc(Cl)cc2)c(Cl)cc1NC(=O)c1cc(I)cc(I)c1O,"InChI=1S/C22H14Cl2I2N2O2/c1-11-6-15(17(10-27)12-2-4-13(23)5-3-12)18(24)9-20(11)28-22(30)16-7-14(25)8-19(26)21(16)29/h2-9,17,29H,1H3,(H,28,30)",JMPFSEBWVLAJKM-UHFFFAOYSA-N,472872,Closantel,Chemotherapeutics,57808-65-8,"6,618,522",JMPFSEBWVLAJKM-UHFFFAOYSA-N,"N-{5-Chloro-4-[(4-chlorophenyl)(cyano)methyl]-2-methylphenyl}-2-hydroxy-3,5-diiodobenzamide",SIGMA-ALDRICH,34093-100MG,CHEMBL12131,CHEBI:77054
