CAS Number,FOUND_BY,DTXSID,PREFERRED_NAME,SMILES
4474-91-3,CASRN,DTXSID30196288,Angiotensin II Human,CC[C@H](C)[C@H](NC(=O)[C@H](CC1=CC=C(O)C=C1)NC(=O)[C@@H](NC(=O)[C@H](CCCNC(N)=N)NC(=O)[C@@H](N)CC(O)=O)C(C)C)C(=O)N[C@@H](CC1=CN=CN1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CC1=CC=CC=C1)C(O)=O
89213-87-6,CASRN,DTXSID201346607,Carperitide,[H][C@]1(NC(=O)[C@H](CCCNC(N)=N)NC(=O)[C@H](CC(O)=O)NC(=O)[C@H](CCSC)NC(=O)[C@H](CCCNC(N)=N)NC(=O)CNC(=O)CNC(=O)[C@H](CC2=CC=CC=C2)NC(=O)[C@H](CSSC[C@H](NC(=O)CNC(=O)[C@H](CC(C)C)NC(=O)CNC(=O)[C@H](CO)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](C)NC(=O)CNC1=O)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](CO)C(=O)N[C@@H](CC1=CC=CC=C1)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N[C@@H](CC1=CC=C(O)C=C1)C(O)=O)NC(=O)[C@H](CO)NC(=O)[C@H](CO)NC(=O)[C@H](CCCNC(N)=N)NC(=O)[C@H](CCCNC(N)=N)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](N)CO)[C@@H](C)CC
852808-04-9,Searched by CASRN: Found 0 results,N/A,N/A,N/A
796967-16-3,CASRN,DTXSID40229834,Linifanib,CC1=CC(NC(=O)NC2=CC=C(C=C2)C2=C3C(N)=NNC3=CC=C2)=C(F)C=C1
912444-00-9,CASRN,DTXSID90238456,Veliparib,C[C@@]1(CCCN1)C1=NC2=C(C=CC=C2N1)C(N)=O
319460-85-0,CASRN,DTXSID3049049,Axitinib,CNC(=O)C1=C(SC2=CC=C3C(NN=C3\C=C\C3=NC=CC=C3)=C2)C=CC=C1
379231-04-6,CASRN,DTXSID90191355,Saracatinib,CN1CCN(CCOC2=CC3=C(C(NC4=C(Cl)C=CC5=C4OCO5)=NC=N3)C(OC3CCOCC3)=C2)CC1
808118-40-3,CASRN,DTXSID60230644,FG-4592,CC1=C2C=C(OC3=CC=CC=C3)C=CC2=C(O)C(=N1)C(=O)NCC(O)=O
606143-52-6,CASRN,DTXSID3048944,Selumetinib,CN1C=NC2=C1C=C(C(=O)NOCCO)C(NC1=CC=C(Br)C=C1Cl)=C2F
656247-17-5,CASRN,DTXSID201025948,Nintedanib,COC(=O)C1=CC=C2C(NC(=O)\C2=C(/NC2=CC=C(C=C2)N(C)C(=O)CN2CCN(C)CC2)C2=CC=CC=C2)=C1
439081-18-2,CASRN,DTXSID501105444,N-[4-[(3-Chloro-4-fluorophenyl)amino]-7-[[(3S)-tetrahydro-3-furanyl]oxy]-6-quinazolinyl]-4-(dimethylamino)-2-butenamide,CN(C)CC=CC(=O)NC1=C(O[C@H]2CCOC2)C=C2N=CN=C(NC3=CC=C(F)C(Cl)=C3)C2=C1
468740-43-4,CASRN,DTXSID201352325,4-{[(2S)-2-(3-Chlorophenyl)-2-hydroxyethyl]amino}-3-[4-methyl-6-(4-morpholinyl)-1H-benzimidazol-2-yl]-2(1H)-pyridinone,CC1=CC(=CC2=C1N=C(N2)C1=C(NC[C@@H](O)C2=CC=CC(Cl)=C2)C=CNC1=O)N1CCOCC1
179324-69-7,CASRN,DTXSID3040980,Bortezomib,CC(C)C[C@H](NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)C1=NC=CN=C1)B(O)O
380843-75-4,CASRN,DTXSID10861568,"4-[(2,4-Dichloro-5-methoxyphenyl)amino]-6-methoxy-7-[3-(4-methyl-1-piperazinyl)propoxy]-3-quinolinecarbonitrile",COC1=CC(NC2=C(C=NC3=CC(OCCCN4CCN(C)CC4)=C(OC)C=C23)C#N)=C(Cl)C=C1Cl
288383-20-0,CASRN,DTXSID10183035,Cediranib,COC1=CC2=C(C=C1OCCCN1CCCC1)N=CN=C2OC1=C(F)C2=C(NC(C)=C2)C=C1
405169-16-6,CASRN,DTXSID901025925,4-Amino-5-fluoro-3-[6-(4-methylpiperazin-1-yl)-1H-benzimidazol-2-yl]-1H-quinolin-2-one,CN1CCN(CC1)C1=CC=C2N=C(NC2=C1)C1=C(N)C2=C(NC1=O)C=CC=C2F
267243-28-7,CASRN,DTXSID8048943,Canertinib,FC1=CC=C(NC2=NC=NC3=CC(OCCCN4CCOCC4)=C(NC(=O)C=C)C=C23)C=C1Cl
212631-79-3,CASRN,DTXSID8048945,C.I. 1040,FC1=CC=C(C(=O)NOCC2CC2)C(NC2=CC=C(I)C=C2Cl)=C1F
302962-49-8,CASRN,DTXSID4040979,Dasatinib,CC1=NC(=CC(NC2=NC=C(S2)C(=O)NC2=C(C)C=CC=C2Cl)=N1)N1CCN(CCO)CC1
572924-54-0,CASRN,DTXSID001025942,Ridaforolimus,[H][C@@]12CC[C@@H](C)[C@@](O)(O1)C(=O)C(=O)N1CCCC[C@@]1([H])C(=O)O[C@@]([H])(CC(=O)[C@H](C)\C=C(C)\[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)\C=C\C=C\C=C(C)\[C@H](C2)OC)[C@H](C)C[C@@H]1CC[C@@H](OP(C)(C)=O)[C@@H](C1)OC
183319-69-9,CASRN,DTXSID10171412,Erlotinib hydrochloride,Cl.COCCOC1=C(OCCOC)C=C2C(NC3=CC=CC(=C3)C#C)=NC=NC2=C1
184475-35-2,CASRN,DTXSID8041034,Gefitinib,COC1=C(OCCCN2CCOCC2)C=C2C(NC3=CC(Cl)=C(F)C=C3)=NC=NC2=C1
220127-57-1,CASRN,DTXSID9040502,Imatinib mesylate,CS(O)(=O)=O.CN1CCN(CC2=CC=C(C=C2)C(=O)NC2=CC(NC3=NC=CC(=N3)C3=CC=CN=C3)=C(C)C=C2)CC1
388082-77-7,CASRN,DTXSID60959606,4-Methylbenzene-1-sulfonic acid--N-{3-chloro-4-[(3-fluorophenyl)methoxy]phenyl}-6-[5-({[2-(methanesulfonyl)ethyl]amino}methyl)furan-2-yl]quinazolin-4-amine (2/1),CC1=CC=C(C=C1)S(O)(=O)=O.CC1=CC=C(C=C1)S(O)(=O)=O.CS(=O)(=O)CCNCC1=CC=C(O1)C1=CC2=C(C=C1)N=CN=C2NC1=CC(Cl)=C(OCC2=CC(F)=CC=C2)C=C1
191732-72-6,CASRN,DTXSID8046664,Lenalidomide,NC1=C2CN(C3CCC(=O)NC3=O)C(=O)C2=CC=C1
404950-80-7,CASRN,DTXSID40193506,Panobinostat,CC1=C(CCNCC2=CC=C(\C=C\C(=O)NO)C=C2)C2=CC=CC=C2N1
857876-30-3,CASRN,DTXSID30235080,Motesanib diphosphate,OP(O)(O)=O.OP(O)(O)=O.CC1(C)CNC2=C1C=CC(NC(=O)C1=C(NCC3=CC=NC=C3)N=CC=C1)=C2
641571-10-0,CASRN,DTXSID5042663,Nilotinib,CC1=CN(C=N1)C1=CC(=CC(NC(=O)C2=CC(NC3=NC=CC(=N3)C3=CC=CN=C3)=C(C)C=C2)=C1)C(F)(F)F
635702-64-6,CASRN,DTXSID70212956,Pazopanib hydrochloride,Cl.CN(C1=CC2=NN(C)C(C)=C2C=C1)C1=NC(NC2=CC(=C(C)C=C2)S(N)(=O)=O)=NC=C1
391210-10-9,CASRN,DTXSID0044024,PD 0325901,OC[C@@H](O)CONC(=O)C1=C(NC2=CC=C(I)C=C2F)C(F)=C(F)C=C1
157716-52-4,CASRN,DTXSID3048946,Perifosine,CCCCCCCCCCCCCCCCCCOP([O-])(=O)OC1CC[N+](C)(C)CC1
371935-74-9,CASRN,DTXSID40190676,pi-103,OC1=CC=CC(=C1)C1=NC2=C(OC3=C2C=CC=N3)C(=N1)N1CCOCC1
53123-88-9,CASRN,DTXSID5023582,Sirolimus,[H][C@@]12CC[C@@H](C)[C@@](O)(O1)C(=O)C(=O)N1CCCC[C@@]1([H])C(=O)O[C@@]([H])(CC(=O)[C@H](C)\C=C(C)\[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)\C=C\C=C\C=C(C)\[C@H](C2)OC)[C@H](C)C[C@@H]1CC[C@@H](O)[C@@H](C1)OC
475207-59-1,CASRN,DTXSID9047839,Sorafenib tosylate,CC1=CC=C(C=C1)S(O)(=O)=O.CNC(=O)C1=CC(OC2=CC=C(NC(=O)NC3=CC=C(Cl)C(=C3)C(F)(F)F)C=C2)=CC=N1
315702-99-9,CASRN,DTXSID90351598,STF-62247,CC1=CC(NC2=NC(=CS2)C2=CC=NC=C2)=CC=C1
341031-54-7,CASRN,DTXSID4046492,Sunitinib malate,O[C@@H](CC(O)=O)C(O)=O.CCN(CC)CCNC(=O)C1=C(C)NC(\C=C2/C(=O)NC3=CC=C(F)C=C23)=C1C
387867-13-2,CASRN,DTXSID8048947,Tandutinib,COC1=CC2=C(N=CN=C2C=C1OCCCN1CCCCC1)N1CCN(CC1)C(=O)NC1=CC=C(OC(C)C)C=C1
162635-04-3,CASRN,DTXSID2040945,Temsirolimus,CO[C@@H]1C[C@H](C[C@@H](C)[C@@H]2CC(=O)[C@H](C)\C=C(C)\[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)\C=C\C=C\C=C(C)\[C@H](C[C@@H]3CC[C@@H](C)[C@@](O)(O3)C(=O)C(=O)N3CCCC[C@H]3C(=O)O2)OC)CC[C@H]1OC(=O)C(C)(CO)CO
443913-73-3,CASRN,DTXSID1046681,Vandetanib,COC1=CC2=C(NC3=CC=C(Br)C=C3F)N=CN=C2C=C1OCC1CCN(C)CC1
149647-78-9,CASRN,DTXSID6041133,Vorinostat,ONC(=O)CCCCCCC(=O)NC1=CC=CC=C1
639089-54-6,CASRN,DTXSID10213609,Tozasertib,CN1CCN(CC1)C1=NC(SC2=CC=C(NC(=O)C3CC3)C=C2)=NC(NC2=NNC(C)=C2)=C1
129830-38-2,CASRN,DTXSID3042635,Y 27632 dihydrochloride,Cl.Cl.[H][C@@]1(CC[C@@H](CC1)C(=O)NC1=CC=NC=C1)[C@@H](C)N
488832-69-5,CASRN,DTXSID2042642,Elesclomol,CN(NC(=O)CC(=O)NN(C)C(=S)C1=CC=CC=C1)C(=S)C1=CC=CC=C1
209783-80-2,CASRN,DTXSID0041068,MS-275,NC1=C(NC(=O)C2=CC=C(CNC(=O)OCC3=CN=CC=C3)C=C2)C=CC=C1
170364-57-5,CASRN,DTXSID5044029,Enzastaurin,CN1C=C(C2=C1C=CC=C2)C1=C(C(=O)NC1=O)C1=CN(C2CCN(CC3=NC=CC=C3)CC2)C2=C1C=CC=C2
714971-09-2,CASRN,DTXSID60221714,BMS-599626,CC1=C2N(C=C1NC(=O)OC[C@@H]1COCCN1)N=CN=C2NC1=CC2=C(C=C1)N(CC1=CC(F)=CC=C1)N=C2
803712-79-0,Searched by CASRN: Found 0 results,N/A,N/A,N/A
763113-22-0,CASRN,DTXSID60917988,Olaparib,FC1=C(C=C(CC2=NNC(=O)C3=CC=CC=C23)C=C1)C(=O)N1CCN(CC1)C(=O)C1CC1
890090-75-2,Searched by CASRN: Found 0 results,N/A,N/A,N/A
790299-79-5,CASRN,DTXSID001000207,"4-[(4-Methylpiperazin-1-yl)methyl]-N-(4-methyl-3-{[4-(pyridin-3-yl)-1,3-thiazol-2(3H)-ylidene]amino}phenyl)benzamide",CN1CCN(CC2=CC=C(C=C2)C(=O)NC2=CC(N=C3NC(=CS3)C3=CN=CC=C3)=C(C)C=C2)CC1
957054-30-7,CASRN,DTXSID40241930,Pictrelisib,CS(=O)(=O)N1CCN(CC2=CC3=C(S2)C(=NC(=N3)C2=C3C=NNC3=CC=C2)N2CCOCC2)CC1
301836-41-9,CASRN,DTXSID7042693,SB-431542,NC(=O)C1=CC=C(C=C1)C1=NC(=C(N1)C1=CC=CC=N1)C1=CC2=C(OCO2)C=C1
877399-52-5,CASRN,DTXSID701009329,Crizotinib,C[C@@H](OC1=CC(=CN=C1N)C1=CN(N=C1)C1CCNCC1)C1=C(Cl)C=CC(F)=C1Cl
747412-49-3,CASRN,DTXSID001336117,Luminespib,CCNC(=O)C1=NOC(=C1C1=CC=C(CN2CCOCC2)C=C1)C1=C(O)C=C(O)C(=C1)C(C)C
477575-56-7,CASRN,DTXSID30197270,PHA-665752,CC1=C(C(=O)N2CCC[C@@H]2CN2CCCC2)C(C)=C(N1)\C=C1/C(=O)NC2=C1C=C(C=C2)S(=O)(=O)CC1=C(Cl)C=CC=C1Cl
65673-63-4,CASRN,DTXSID20274403,ha14-1,CCOC(=O)C(C#N)C1C2=C(OC(N)=C1C(=O)OCC)C=CC(Br)=C2
475110-96-4,CASRN,DTXSID30197179,ZSTK474,FC(F)C1=NC2=CC=CC=C2N1C1=NC(=NC(=N1)N1CCOCC1)N1CCOCC1
152121-47-6,CASRN,DTXSID2040577,SB203580,CS(=O)C1=CC=C(C=C1)C1=NC(=C(N1)C1=CC=NC=C1)C1=CC=C(F)C=C1
1032350-13-2,CASRN,DTXSID3048948,MK-2206,NC1(CCC1)C1=CC=C(C=C1)C1=NC2=C(C=C1C1=CC=CC=C1)C1=NNC(=O)N1C=C2
658084-23-2,CASRN,DTXSID20429552,SU11274,CN(C1=CC(Cl)=CC=C1)S(=O)(=O)C1=CC2=C(NC(=O)\C2=C/C2=C(C)C(C(=O)N3CCN(C)CC3)=C(C)N2)C=C1
879085-55-9,CASRN,DTXSID40236689,Vismodegib,CS(=O)(=O)C1=CC(Cl)=C(C=C1)C(=O)NC1=CC(=C(Cl)C=C1)C1=CC=CC=N1
649735-46-6,CASRN,DTXSID60215294,Brivanib,C[C@@H](O)COC1=CN2N=CN=C(OC3=C(F)C4=C(NC(C)=C4)C=C3)C2=C1C
414864-00-9,CASRN,DTXSID60194378,Belinostat,ONC(=O)\C=C\C1=CC(=CC=C1)S(=O)(=O)NC1=CC=CC=C1
160003-66-7,CASRN,DTXSID30166784,Iniparib,NC(=O)C1=CC(=C(I)C=C1)[N+]([O-])=O
923032-37-5,CASRN,DTXSID40238961,Refametinib,COC1=CC(F)=C(F)C(NC2=C(F)C=C(I)C=C2)=C1NS(=O)(=O)C1(C[C@H](O)CO)CC1
783355-60-2,CASRN,DTXSID30229005,Abexinostat,CN(C)CC1=C(OC2=CC=CC=C12)C(=O)NCCOC1=CC=C(C=C1)C(=O)NO
867160-71-2,CASRN,DTXSID401007055,Linsitinib,C[C@@]1(O)C[C@@H](C1)C1=NC(=C2N1C=CN=C2N)C1=CC=C2C=CC(=NC2=C1)C1=CC=CC=C1
587871-26-9,CASRN,DTXSID40207516,KU-55933,O=C1C=C(OC(=C1)C1=C2SC3=CC=CC=C3SC2=CC=C1)N1CCOCC1
956905-27-4,CASRN,DTXSID401026097,"2-(4-(1-(Quinolin-6-ylmethyl)-1H-(1,2,3)triazolo(4,5-b)pyrazin-6-yl)-1H-pyrazol-1-yl)ethanol",OCCN1C=C(C=N1)C1=CN=C2N=NN(CC3=CC=C4N=CC=CC4=C3)C2=N1
875320-31-3,Searched by CASRN: Found 0 results,N/A,N/A,N/A
957217-65-1,CASRN,DTXSID80678524,"2-(2-Methyl-1,4-dioxa-8-azaspiro[4.5]decan-8-yl)-8-nitro-6-(trifluoromethyl)-4H-1,3-benzothiazin-4-one",CC1COC2(CCN(CC2)C2=NC(=O)C3=C(S2)C(=CC(=C3)C(F)(F)F)[N+]([O-])=O)O1
459868-92-9,Searched by CASRN: Found 0 results,N/A,N/A,N/A
869363-13-3,CASRN,DTXSID10235987,MLN8054,OC(=O)C1=CC=C(NC2=NC=C3CN=C(C4=C(C=CC(Cl)=C4)C3=N2)C2=C(F)C=CC=C2F)C=C1
212141-51-0,CASRN,DTXSID5049073,Vatalanib dihydrochloride,Cl.Cl.ClC1=CC=C(NC2=C3C=CC=CC3=C(CC3=CC=NC=C3)N=N2)C=C1
1173097-76-1,CASRN,DTXSID20585283,"(2Z,3Z)-Bis{amino[(2-aminophenyl)sulfanyl]methylidene}butanedinitrile--ethanol (1/1)",CCO.N\C(SC1=CC=CC=C1N)=C(\C#N)/C(/C#N)=C(\N)SC1=CC=CC=C1N
331771-20-1,CASRN,DTXSID00186833,ZM-447439,COC1=C(OCCCN2CCOCC2)C=C2N=CN=C(NC3=CC=C(NC(=O)C4=CC=CC=C4)C=C3)C2=C1
154447-36-6,CASRN,DTXSID6042650,LY294002,O=C1C=C(OC2=C(C=CC=C12)C1=CC=CC=C1)N1CCOCC1
742112-33-0,CASRN,DTXSID50225206,AR-12,NCC(=O)NC1=CC=C(C=C1)N1N=C(C=C1C1=CC2=C(C=C1)C1=CC=CC=C1C=C2)C(F)(F)F
827318-97-8,CASRN,DTXSID301002864,"N-{5-[Methoxy(phenyl)acetyl]-1,4,5,6-tetrahydropyrrolo[3,4-c]pyrazol-3-yl}-4-(4-methylpiperazin-1-yl)benzene-1-carboximidic acid",[H][C@](OC)(C(=O)N1CC2=C(C1)C(N=C(O)C1=CC=C(C=C1)N1CCN(C)CC1)=NN2)C1=CC=CC=C1
761439-42-3,CASRN,DTXSID30227001,"5-Chloro-N2-[2-methoxy-4-[4-(4-methyl-1-piperazinyl)-1-piperidinyl]phenyl]-N4-[2-[(1-methylethyl)sulfonyl]phenyl]-2,4-pyrimidinediamine",COC1=C(NC2=NC=C(Cl)C(NC3=CC=CC=C3S(=O)(=O)C(C)C)=N2)C=CC(=C1)N1CCC(CC1)N1CCN(C)CC1
755038-02-9,CASRN,DTXSID20226442,BI 2536,CC[C@H]1N(C2CCCC2)C2=NC(NC3=C(OC)C=C(C=C3)C(=O)NC3CCN(C)CC3)=NC=C2N(C)C1=O
172732-68-2,CASRN,DTXSID50169378,Varespladib,CCC1=C(C(=O)C(N)=O)C2=C(C=CC=C2OCC(O)=O)N1CC1=CC=CC=C1
849217-64-7,Searched by CASRN: Found 0 results,N/A,N/A,N/A
1022150-57-7,CASRN,DTXSID70647300,"6-{[6-(1-Methyl-1H-pyrazol-4-yl)[1,2,4]triazolo[4,3-b]pyridazin-3-yl]sulfanyl}quinoline",CN1C=C(C=N1)C1=NN2C(SC3=CC4=C(C=C3)N=CC=C4)=NN=C2C=C1
937174-76-0,CASRN,DTXSID60239551,GSK-690693,CCN1C(=NC2=C1C(OC[C@H]1CCCNC1)=CN=C2C#CC(C)(C)O)C1=NON=C1N
943540-75-8,CASRN,DTXSID20677253,"6-{Difluoro[6-(1-methyl-1H-pyrazol-4-yl)[1,2,4]triazolo[4,3-b]pyridazin-3-yl]methyl}quinoline",CN1C=C(C=N1)C1=NN2C(C=C1)=NN=C2C(F)(F)C1=CC2=C(C=C1)N=CC=C2
603139-19-1,CASRN,DTXSID40209075,Odanacatib,CC(C)(F)C[C@H](N[C@@H](C1=CC=C(C=C1)C1=CC=C(C=C1)S(C)(=O)=O)C(F)(F)F)C(=O)NC1(CC1)C#N
827022-32-2,CASRN,DTXSID00465655,"6-Acetyl-8-cyclopentyl-5-methyl-2-{[5-(piperazin-1-yl)pyridin-2-yl]amino}pyrido[2,3-d]pyrimidin-7(8H)-one--hydrogen chloride (1/1)",Cl.CC(=O)C1=C(C)C2=CN=C(NC3=NC=C(C=C3)N3CCNCC3)N=C2N(C2CCCC2)C1=O
